dis=0, v=0, a_actual=200, time_point=0
x=1.0428, y=1.0428, z=-68.3964
x=1.06844, y=1.06844, z=-68.7842
x=1.09444, y=1.09444, z=-69.1722
x=1.1208, y=1.1208, z=-69.5604
x=1.14751, y=1.14751, z=-69.9488
x=1.17457, y=1.17457, z=-70.3373
x=1.20198, y=1.20198, z=-70.726
x=1.22976, y=1.22976, z=-71.1149
x=1.25788, y=1.25788, z=-71.5039
x=1.28636, y=1.28636, z=-71.8932
x=1.31519, y=1.31519, z=-72.2826
x=1.34438, y=1.34438, z=-72.6722
x=1.37392, y=1.37392, z=-73.062
x=1.40382, y=1.40382, z=-73.4519
x=1.43407, y=1.43407, z=-73.842
x=1.46467, y=1.46467, z=-74.2323
x=1.49563, y=1.49563, z=-74.6228
x=1.52694, y=1.52694, z=-75.0135
x=1.55861, y=1.55861, z=-75.4043
x=1.59063, y=1.59063, z=-75.7953
x=1.62301, y=1.62301, z=-76.1865
x=1.65573, y=1.65573, z=-76.5779
x=1.68882, y=1.68882, z=-76.9694
x=1.72226, y=1.72226, z=-77.3611
x=1.75605, y=1.75605, z=-77.753
x=1.79019, y=1.79019, z=-78.1451
x=1.82469, y=1.82469, z=-78.5373
x=1.85955, y=1.85955, z=-78.9298
x=1.89476, y=1.89476, z=-79.3224
x=1.93032, y=1.93032, z=-79.7152
x=1.96623, y=1.96623, z=-80.1081
x=2.00251, y=2.00251, z=-80.5013
x=2.03913, y=2.03913, z=-80.8946
x=2.07611, y=2.07611, z=-81.2881
x=2.11344, y=2.11344, z=-81.6817
x=2.15113, y=2.15113, z=-82.0756
x=2.18917, y=2.18917, z=-82.4696
x=2.22757, y=2.22757, z=-82.8638
x=2.26632, y=2.26632, z=-83.2582
x=2.30542, y=2.30542, z=-83.6527
x=2.34488, y=2.34488, z=-84.0474
x=2.38469, y=2.38469, z=-84.4423
x=2.42486, y=2.42486, z=-84.8374
x=2.46538, y=2.46538, z=-85.2327
x=2.50626, y=2.50626, z=-85.6281
x=2.54748, y=2.54748, z=-86.0237
x=2.58907, y=2.58907, z=-86.4195
x=2.63101, y=2.63101, z=-86.8155
x=2.6733, y=2.6733, z=-87.2116
x=2.71594, y=2.71594, z=-87.608
x=2.75894, y=2.75894, z=-88.0045
x=2.8023, y=2.8023, z=-88.4011
x=2.84601, y=2.84601, z=-88.798
x=2.89007, y=2.89007, z=-89.195
x=2.93448, y=2.93448, z=-89.5922
x=2.97926, y=2.97926, z=-89.9896
x=3.02438, y=3.02438, z=-90.3872
x=3.06986, y=3.06986, z=-90.7849
x=3.11569, y=3.11569, z=-91.1828
x=3.16188, y=3.16188, z=-91.5809
x=3.20813, y=3.20813, z=-91.9791
x=3.25444, y=3.25444, z=-92.3772
x=3.30082, y=3.30082, z=-92.7754
x=3.34725, y=3.34725, z=-93.1736
x=3.39375, y=3.39375, z=-93.5719
x=3.4403, y=3.4403, z=-93.9702
x=3.48692, y=3.48692, z=-94.3685
x=3.53359, y=3.53359, z=-94.7668
x=3.58033, y=3.58033, z=-95.1652
x=3.62712, y=3.62712, z=-95.5636
x=3.67397, y=3.67397, z=-95.962
x=3.72087, y=3.72087, z=-96.3604
x=3.76784, y=3.76784, z=-96.7589
x=3.81485, y=3.81485, z=-97.1574
x=3.86193, y=3.86193, z=-97.556
x=3.90906, y=3.90906, z=-97.9545
x=3.95624, y=3.95624, z=-98.3531
x=4.00348, y=4.00348, z=-98.7517
x=4.05077, y=4.05077, z=-99.1504
x=4.09811, y=4.09811, z=-99.5491
x=4.14551, y=4.14551, z=-99.9478
x=4.19296, y=4.19296, z=-100.346
x=4.24045, y=4.24045, z=-100.745
x=4.288, y=4.288, z=-101.144
x=4.3356, y=4.3356, z=-101.543
x=4.38325, y=4.38325, z=-101.942
x=4.43095, y=4.43095, z=-102.34
x=4.4787, y=4.4787, z=-102.739
x=4.5265, y=4.5265, z=-103.138
x=4.57434, y=4.57434, z=-103.537
x=4.62223, y=4.62223, z=-103.936
x=4.67017, y=4.67017, z=-104.335
x=4.71815, y=4.71815, z=-104.734
x=4.76618, y=4.76618, z=-105.133
x=4.81425, y=4.81425, z=-105.532
x=4.86237, y=4.86237, z=-105.931
x=4.91053, y=4.91053, z=-106.33
x=4.95874, y=4.95874, z=-106.729
x=5.00699, y=5.00699, z=-107.128
x=5.05528, y=5.05528, z=-107.528
x=5.10361, y=5.10361, z=-107.927
x=5.15199, y=5.15199, z=-108.326
x=5.2004, y=5.2004, z=-108.725
x=5.24886, y=5.24886, z=-109.124
x=5.29736, y=5.29736, z=-109.524
x=5.34589, y=5.34589, z=-109.923
x=5.39447, y=5.39447, z=-110.322
